ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family
spanish,Spanish,stan1288,,,,,,
marathi,Marathi,mara1378,,,,,,
czech,Czech,czec1258,,,,,,
german,German,stan1295,,,,,,
bretonst,Breton_ST,bret1244,,,,,,
catalan,Catalan,stan1289,,,,,,
russian,Russian,russ1263,,,,,,
french,French,stan1290,,,,,,
polish,Polish,poli1260,,,,,,
oriya,Oriya,oriy1255,,,,,,
dutchlist,Dutch_List,dutc1256,,,,,,
danish,Danish,dani1285,,,,,,
armenianmod,Armenian_Mod,nucl1235,,,,,,
bihari,Bihari,mait1250,,,,,,
urdu,Urdu,urdu1245,,,,,,
italian,Italian,ital1282,,,,,,
portuguesest,Portuguese_ST,port1283,,,,,,
english,English,stan1293,,,,,,
greekmod,Greek_Mod,mode1248,,,,,,
swedish,Swedish,swed1254,,,,,,
